last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	midterm	final	total	grade
5421	9	15	19	19	17	17	19	 	20	81.82%	82	67	75.93	2.2
5452	10	15	20	20	19	19	20	18	20	97.58%	83	65	81.63	2.7
5539	10	15	20	20	18	13	15	12	20	86.67%	53	73	74.47	2.1
5575	10	14	20	19	20	20	15	20	20	95.76%	90	94	93.90	3.8
5642	9	14	19	20	20	20	20	19	20	97.58%	84	92	92.63	3.7
5703	9	15	20	20	20	20	20	20	20	99.39%	98	90	95.36	3.9
5726	4	14	17	19	11	15	16	17	20	80.61%	48	55	63.84	1.1
5859	9	14	20	19	20	17	20	20	20	96.36%	80	79	86.15	3.1
5863	9	11	20	19	17	19	18	17	20	90.91%	62	50	68.76	1.5
5866	10	15	16	18	15	16	16	19	20	87.88%	67	24	58.15	0
5963	7	15	20	20	20	20	19	19	20	96.97%	92	94	94.79	3.8
6005	8	15	19	17	18	19	20	15	20	91.52%	55	44	65.21	1.2
6040	9	15	20	20	20	20	20	18	20	98.18%	93	98	97.07	4
6129	9	14	20	19	19	19	20	16	20	94.55%	53	45	66.42	1.3
6133	9	15	17	19	18	20	20	19	20	95.15%	82	89	90.06	3.5
6177	10	15	20	20	18	20	18	20	20	97.58%	93	89	93.23	3.7
6192	8	15	12	13	13	 	 	6	12	47.88%	80	54	56.75	0
6253	9	13	20	13	14	15	10	15	20	78.18%	84	44	65.67	1.2
6295	8	15	18	19	19	20	20	18	20	95.15%	85	85	89.06	3.4
6310	9	15	20	17	20	19	0	19	20	84.24%	53	55	66.30	1.3
6360	8	15	19	18	18	17	13	18	20	88.48%	79	82	83.99	2.9
6380	9	15	20	18	19	20	20	19	20	96.97%	92	93	94.39	3.8
6400	10	14	20	20	17	18	20	14	20	92.73%	91	87	90.09	3.5
6477	9	15	19	17	16	18	18	11	20	86.67%	64	57	70.27	1.6
6486	9	14	20	15	0	12	0	14	20	63.03%	72	57	62.41	1
6500	9	14	20	18	19	17	20	16	20	92.73%	83	78	84.89	3
6520	9	15	19	19	17	19	18	16	20	92.12%	76	73	81.25	2.7
6523	9	14	20	20	19	20	20	20	20	98.18%	96	94	96.07	3.9
6602	10	15	20	19	17	0	15	18	20	81.21%	64	69	72.88	1.9
6624	9	15	9	20	20	15	6	 	15	66.06%	57	51	58.22	0
6634	8	14	19	18	19	20	16	19	20	92.73%	82	88	88.69	3.4
6664	8	15	19	19	20	19	20	18	20	95.76%	88	90	91.90	3.6
6714	9	14	20	20	 	12	0	18	9	61.82%	57	67	62.93	1
6740	9	14	20	19	20	16	17	20	18	92.73%	50	56	69.49	1.6
6802	6	15	20	16	16	13	15	19	20	84.85%	57	51	65.74	1.2
6805	7	13	19	17	17	16	17	18	18	86.06%	72	80	80.82	2.6
6809	9	15	20	20	19	20	20	20	20	98.79%	90	93	94.72	3.8
6887	6	15	20	20	17	19	20	15	20	92.12%	88	90	90.45	3.5
6974	8	14	20	20	20	19	20	20	20	97.58%	91	82	90.03	3.5
7107	5	15	20	18	19	20	7	15	20	84.24%	76	77	79.70	2.5
7208	10	15	20	17	20	20	20	20	20	98.18%	94	88	93.27	3.7
7246	10	13	17	0	0	0	0	16	20	46.06%	31	36	39.02	0
7292	10	14	19	18	16	16	17	17	20	89.09%	90	84	87.24	3.2
7321	8	14	20	19	18	18	9	18	20	87.27%	80	53	72.11	1.8
7346	6	15	20	20	16	18	18	18	20	91.52%	81	59	76.41	2.2
7380	10	14	20	20	18	16	19	18	20	93.94%	79	88	88.58	3.4
7436	8	15	19	5	16	 	 	 	6	41.82%	67	40	46.13	0
7445	9	14	17	19	18	19	12	18	20	88.48%	88	73	82.19	2.8
7451	4	14	20	0	0	0	0	0	18	33.94%	34	25	30.38	0
7565	8	 	20	18	16	 	20	 	12	56.97%	26	 	27.99	0
7575	7	15	20	19	20	19	19	17	20	94.55%	66	65	77.02	2.3
7816	7	13	20	16	18	12	10	13	20	78.18%	73	56	68.27	1.4
7859	10	15	18	20	20	20	20	19	20	98.18%	92	92	94.47	3.8
7860	7	14	20	16	18	18	20	18	20	91.52%	44	49	65.01	1.1
7886	9	15	16	16	20	19	0	19	20	81.21%	88	85	84.08	2.9
7898	7	14	19	20	12	 	11	12	20	69.70%	56	28	50.28	0
7989	8	14	20	13	16	14	17	16	20	83.64%	70	51	67.85	1.4
8051	8	14	14	18	18	18	17	18	20	87.88%	61	58	70.55	1.7
8071	9	15	19	19	19	19	20	19	20	96.36%	85	92	92.35	3.7
8081	9	15	20	20	19	18	13	18	20	92.12%	70	67	77.65	2.4
8103	8	15	20	20	20	19	20	19	20	97.58%	84	80	87.83	3.3
8110	9	15	20	18	18	 	 	 	18	59.39%	54	60	58.56	0.7
8153	10	15	19	20	16	20	0	16	20	82.42%	56	57	66.97	1.3
8166	10	14	20	17	17	20	0	12	20	78.79%	68	59	68.72	1.5
8233	 	14	18	 	12	4	18	 	3	41.82%	73	68	58.53	0.7
8288	8	15	17	17	18	19	20	16	20	90.91%	68	59	73.56	1.9
8406	9	14	19	20	20	17	15	17	20	91.52%	73	79	82.81	2.8
8428	9	15	19	20	10	13	14	20	18	83.64%	73	31	60.45	0.8
8510	9	14	20	20	19	20	19	19	20	96.97%	63	76	81.79	2.7
8536	9	15	20	 	 	 	 	 	20	38.79%	70	45	47.52	0
8564	9	15	20	19	18	16	15	18	20	90.91%	77	56	74.16	2
8602	8	15	 	 	 	 	 	 	6	17.58%	 	 	7.03	0
8604	10	14	18	19	19	18	19	18	20	93.94%	89	93	92.58	3.7
8627	5	15	20	17	18	19	6	13	0	68.48%	62	 	39.79	0
8660	9	14	20	19	20	20	0	18	20	84.85%	74	54	70.34	1.6
8753	9	15	20	19	17	19	0	17	20	82.42%	87	88	85.57	3.1
8798	9	9	0	14	8	0	 	 	6	27.88%	48	36	35.15	0
8827	8	14	19	19	19	20	0	0	15	69.09%	61	62	64.64	1.1
8828	7	15	18	17	20	18	17	18	20	90.91%	83	84	86.56	3.2
8855	10	15	20	20	19	20	16	17	20	95.15%	93	96	95.06	3.9
8861	9	15	20	5	12	 	 	13	20	56.97%	61	53	56.19	0
8863	10	15	20	18	20	19	0	16	20	83.64%	87	82	83.65	2.9
8875	9	15	20	19	19	20	18	18	20	95.76%	98	100	97.90	4
8876	8	14	20	19	16	17	19	16	20	90.30%	76	71	79.72	2.5
8923	10	14	20	18	20	20	17	18	20	95.15%	91	94	93.86	3.8
8942	8	14	20	18	16	18	19	15	20	89.70%	28	33	54.68	0
8957	9	15	20	20	15	20	20	19	20	95.76%	82	85	88.70	3.4
8979	9	15	20	18	20	17	20	18	20	95.15%	78	80	85.66	3.1
9123	10	15	20	15	19	19	20	18	20	94.55%	73	78	83.62	2.9
9146	9	14	20	19	20	18	17	18	20	93.94%	70	85	85.58	3.1
9173	9	14	16	19	17	0	0	0	20	57.58%	73	47	56.43	0
9178	9	14	18	20	17	 	18	0	15	67.27%	63	39	55.11	0
9190	8	13	10	17	19	14	2	13	20	70.30%	70	44	59.72	0.7
9222	9	15	19	20	15	20	20	18	20	94.55%	91	82	88.82	3.4
9248	8	12	20	18	18	14	17	16	20	86.67%	84	61	75.87	2.2
9340	10	14	19	20	20	19	20	20	20	98.18%	97	99	98.27	4
9369	9	14	20	18	15	14	15	15	20	84.85%	41	41	58.54	0.7
9385	8	14	20	19	19	17	16	19	20	92.12%	92	87	90.05	3.5
9452	9	15	19	19	15	19	16	15	20	89.09%	84	70	80.44	2.6
9462	8	14	20	19	16	16	20	16	20	90.30%	79	52	72.72	1.9
9470	9	14	19	19	17	17	18	20	20	92.73%	69	72	79.69	2.5
9497	9	14	19	20	17	19	20	19	20	95.15%	87	81	87.86	3.3
9498	10	15	19	19	18	17	20	17	20	93.94%	81	79	85.38	3
9689	9	14	17	20	17	16	19	18	15	87.88%	85	87	86.95	3.2
9720	9	15	19	20	18	19	20	19	20	96.36%	67	48	71.15	1.7
9769	9	15	17	20	17	15	17	10	20	84.85%	59	39	61.34	0.9
9840	7	13	19	16	19	18	16	19	20	89.09%	74	65	76.44	2.2
9865	8	14	18	19	19	17	17	16	20	89.70%	74	74	80.28	2.6
9889	10	13	19	20	0	16	17	0	20	69.70%	61	71	68.48	1.5
9899	9	13	20	19	 	18	 	 	15	56.97%	57	53	55.39	0
9930	10	13	19	16	17	19	20	18	20	92.12%	80	69	80.45	2.6
9953	10	15	20	19	20	20	19	18	20	97.58%	68	70	80.63	2.6
9963	9	15	20	20	20	3	15	20	20	86.06%	70	84	82.02	2.8
9979	10	13	18	19	17	19	14	17	20	89.09%	80	72	80.44	2.6
9988	8	14	20	19	17	20	17	16	20	91.52%	50	44	64.21	1.1
9992	9	14	17	20	18	17	20	19	20	93.33%	69	72	79.93	2.6

mean	8.9	14.4	19.1	18.1	17.2	16.8	15.7	16.7	18.8	86.0%	77.1	73.4	78.4	2.5
median	9.0	15.0	20.0	19.0	18.0	18.0	18.0	18.0	20.0	91.5%	81.0	79.0	82.0	2.8
