last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	new final	total	grade
5238	 	 	 	 	 	 	 	 	 	0.00%	10	31	36	16.40	0
3435	16	18	16	 	 	 	 	 	 	29.41%	 	 	 	11.76	0
4017	9	15	 	 	 	 	 	 	 	14.12%	 	 	 	5.65	0
5213	 	 	 	 	 	 	 	 	 	0.00%	25	 	 	5.00	0
3109	12	 	 	 	 	 	 	 	 	7.06%	 	 	 	2.82	0
8212	6	 	 	 	 	 	 	 	 	3.53%	 	 	 	1.41	0
0204	 	 	 	 	 	 	 	 	 	0.00%	 	 	 	0.00	0

mean	17.4	17.8	17.3	18.5	17.6	17.0	18.4	26.7	2.0	83.06%	72.9	69.0	 	75.7	2.56
median	19	18	18	19	19	18	19	29	2	91.18%	74.5	70	 	79.15	2.8
