last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	Assign9	attendance	homework %	Midterm	Final	total	grade
3284	9	15	19	16	16	19	19	16	15	20	88.65%	71	55	71.66	1.7
5963	7	15	16	18	14	17	18	19	17	20	87.03%	82	51	71.61	1.7
3082	9	15	13	14	17	7	 	7	18	20	64.86%	88	70	71.55	1.7
9025	10	15	19	19	19	20	16	20	18	20	95.14%	83	42	71.45	1.7
1598	6	14	20	19	20	15	 	10	0	20	67.03%	83	70	71.41	1.7
3131	9	15	20	19	19	19	 	20	16	20	84.86%	69	59	71.35	1.7
4193	9	14	20	19	18	20	16	20	16	15	90.27%	74	51	71.31	1.7
9157	7	15	20	 	17	 	 	20	 	18	52.43%	97	77	71.17	1.7
6261	9	14	20	18	17	19	13	6	13	20	80.54%	82	56	71.02	1.7
3640	10	15	15	17	18	19	19	20	19	20	92.97%	71	49	70.99	1.7
7107	6	15	18	18	18	19	11	 	6	20	70.81%	83	64	70.52	1.6
2041	 	14	17	17	14	18	13	 	 	0	50.27%	88	82	70.51	1.6
4284	8	14	20	16	17	19	17	 	19	20	81.08%	60	65	70.43	1.6
4925	6	14	19	20	19	20	20	 	18	20	84.32%	61	61	70.33	1.6
1804	5	15	20	19	20	19	 	 	19	15	71.35%	58	75	70.14	1.6
1327	10	14	0	17	15	19	12	20	17	12	73.51%	62	69	69.41	1.5
1686	7	15	20	0	8	20	12	15	16	20	71.89%	70	66	69.16	1.5
6041	9	15	20	18	16	15	 	 	15	18	68.11%	71	69	69.04	1.5
5718	9	15	20	15	20	17	 	 	 	20	62.70%	81	69	68.88	1.4
1049	7	15	20	19	18	16	8	11	18	20	82.16%	62	59	68.86	1.4
1158	9	15	17	20	20	20	18	20	 	20	85.95%	58	57	68.78	1.4
1354	10	15	14	0	19	19	17	20	18	20	82.16%	73	53	68.66	1.4
2117	9	15	16	14	17	20	14	16	19	20	86.49%	54	58	68.59	1.4
