last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	explore	weekly %	midterm	final	new final	total	grade
1871	20	18	17	20	16	19	20	27	 	0	92.35%	85	85	95	91.94	3.7
4773	20	16	18	19	17	20	20	29	2	0	94.71%	87	81	91	91.68	3.7
3430	20	19	19	19	20	16	18	29	 	0	94.12%	96	77	87	91.65	3.7
0093	19	19	19	19	18	19	17	29	 	0	93.53%	66	92	102	91.41	3.7
3525	18	19	16	15	18	16	20	27	2	4	89.61%	97	80	90	91.24	3.7
1258	20	19	20	20	20	19	20	26	 	0	96.47%	92	75	85	90.99	3.7
6562	18	16	18	18	18	19	18	29	 	4	91.37%	90	81	91	90.95	3.7
0435	18	19	18	18	19	15	20	28	 	0	91.18%	77	87	97	90.67	3.6
1792	18	12	14	19	20	16	20	30	 	0	87.65%	88	85	95	90.66	3.6
4273	19	19	18	19	19	18	20	28	 	0	94.12%	98	73	83	90.45	3.6
0588	18	16	16	18	20	16	17	27	 	0	87.06%	82	87	97	90.02	3.6
0716	9	20	18	18	17	17	15	30	2	5	86.86%	90	83	93	89.95	3.6
0769	18	17	17	17	20	19	14	28	 	0	88.24%	91	81	91	89.89	3.6
8903	19	19	18	19	17	18	20	29	 	0	93.53%	86	78	88	89.81	3.6
1254	20	19	5	19	20	20	20	30	 	0	90.00%	93	78	88	89.80	3.6
0752	19	19	16	14	18	18	18	30	 	0	89.41%	95	77	87	89.56	3.6
9268	18	16	18	17	20	19	19	29	 	0	91.76%	80	82	92	89.51	3.6
1700	20	17	20	20	19	18	17	30	 	0	94.71%	94	72	82	89.48	3.6
1634	19	17	17	20	19	14	19	26	 	0	88.82%	93	78	88	89.33	3.6
4776	17	16	18	20	20	18	20	29	 	0	92.94%	92	74	84	89.18	3.6
9040	18	17	16	18	18	16	18	25	 	0	85.88%	96	79	89	89.15	3.6
5890	18	18	19	20	18	19	20	30	 	0	95.29%	95	70	80	89.12	3.6
8616	15	15	16	15	14	20	15	29	 	0	81.76%	72	95	105	89.11	3.6
8884	20	18	19	20	20	17	19	22	 	0	91.18%	93	75	85	89.07	3.6
4787	19	19	16	17	20	17	19	27	 	5	91.57%	100	71	81	89.03	3.6
2152	18	17	19	20	19	15	19	24	 	0	88.82%	91	78	88	88.93	3.6
0758	20	17	20	20	20	18	20	26	 	0	94.71%	89	73	83	88.88	3.6
0782	19	18	18	17	17	20	19	28	 	0	91.76%	80	80	90	88.71	3.5
2932	20	14	16	19	19	19	19	29	 	0	91.18%	85	78	88	88.67	3.5
1960	19	19	16	16	18	12	20	25	 	0	85.29%	76	88	98	88.52	3.5
2577	17	17	19	19	16	19	19	27	 	0	90.00%	92	75	85	88.40	3.5
1920	20	18	17	20	19	17	17	28	 	0	91.76%	74	82	92	88.31	3.5
0726	19	12	16	18	19	14	15	27	 	0	82.35%	98	79	89	88.14	3.5
1512	20	18	16	16	18	17	18	26	 	0	87.65%	87	79	89	88.06	3.5
7528	19	16	13	16	20	15	17	26	 	0	83.53%	84	84	94	87.81	3.5
6049	19	19	19	18	20	17	19	26	 	5	93.33%	87	72	82	87.53	3.5
0295	20	20	19	18	19	14	19	26	 	0	91.18%	95	70	80	87.47	3.5
0041	19	18	18	15	18	19	15	27	 	0	87.65%	93	74	84	87.26	3.5
0728	20	18	19	17	18	19	19	29	0	0	93.53%	85	72	82	87.21	3.5
2012	20	18	18	16	18	17	19	26	 	0	89.41%	93	72	82	87.16	3.5
0498	18	13	18	18	19	15	15	29	 	0	85.29%	79	83	93	87.12	3.5
1568	20	19	19	17	17	16	11	30	 	0	87.65%	90	75	85	87.06	3.5
2004	18	18	18	20	16	16	18	25	 	0	87.65%	90	75	85	87.06	3.5
1609	19	20	17	20	20	18	18	25	2	3	94.12%	89	69	79	87.05	3.5
9674	19	17	16	20	18	14	19	27	 	3	88.82%	89	74	84	86.93	3.5
0042	19	15	18	17	20	15	19	28	 	0	88.82%	83	76	86	86.53	3.5
1942	19	17	18	18	18	16	19	25	 	0	88.24%	78	78	88	86.09	3.4
8388	18	17	18	19	18	15	18	30	 	0	90.00%	74	78	88	86.00	3.4
1777	19	18	13	16	18	17	16	29	 	0	85.88%	78	80	90	85.95	3.4
4236	18	19	20	18	19	18	16	29	 	0	92.35%	86	69	79	85.74	3.4
0796	19	19	19	20	17	18	18	29	2	0	94.71%	79	70	80	85.68	3.4
2371	17	19	18	16	17	13	19	28	0	0	86.47%	89	73	83	85.59	3.4
4072	20	19	20	19	17	18	18	25	1	0	92.35%	83	70	80	85.54	3.4
0956	15	15	19	17	20	20	14	29	 	0	87.65%	70	81	91	85.46	3.3
9753	19	19	19	18	20	19	20	28	 	0	95.29%	82	67	77	85.32	3.3
4032	20	20	19	18	19	19	16	28	 	0	93.53%	82	68	78	85.01	3.3
1092	19	18	19	18	17	19	15	26	 	1	89.02%	67	80	90	85.01	3.3
1740	20	17	16	18	17	15	17	26	 	0	85.88%	83	75	85	84.95	3.3
6016	18	16	12	19	17	16	18	28	 	0	84.71%	91	72	82	84.88	3.3
1421	18	19	19	20	18	16	19	27	 	0	91.76%	85	67	77	84.51	3.3
7121	19	17	19	17	19	15	20	29	 	0	91.18%	98	61	71	84.47	3.2
0873	18	14	16	19	15	15	18	26	 	0	82.94%	88	74	84	84.38	3.2
0117	18	19	18	17	16	14	20	26	 	0	87.06%	97	64	74	83.82	3.2
6242	20	14	16	18	15	17	18	29	 	0	86.47%	90	68	78	83.79	3.2
7822	20	18	19	18	19	19	20	30	 	0	95.88%	65	71	81	83.75	3.2
6342	20	15	18	18	19	18	18	25	 	0	88.82%	87	67	77	83.73	3.2
0291	20	17	18	19	18	18	18	26	 	6	91.76%	86	64	74	83.51	3.2
1168	19	16	18	18	12	15	13	29	 	0	82.35%	86	73	83	83.34	3.1
4265	20	18	19	20	17	19	20	29	 	0	95.29%	80	63	73	83.32	3.1
8102	19	17	17	19	16	17	17	28	 	4	89.02%	88	65	75	83.21	3.1
1276	19	14	15	19	13	18	17	14	 	0	75.88%	67	88	98	82.95	3.1
1182	18	15	17	18	19	20	19	29	 	0	91.18%	78	67	77	82.87	3.1
4248	19	18	16	18	18	19	19	27	 	0	90.59%	83	65	75	82.84	3.1
4565	17	18	16	15	18	19	15	30	 	0	87.06%	80	70	80	82.82	3.1
4553	19	20	17	20	19	17	20	30	 	0	95.29%	81	61	71	82.72	3.1
4478	18	7	16	19	20	17	19	28	0	2	85.10%	93	65	75	82.64	3.1
3325	18	15	17	18	20	19	20	28	 	0	91.18%	86	62	72	82.47	3
2266	20	19	19	17	14	20	20	27	 	0	91.76%	76	66	76	82.31	3
7678	18	17	18	15	18	20	19	27	 	0	89.41%	78	67	77	82.16	3
2036	19	13	17	17	12	17	19	29	 	0	84.12%	78	72	82	82.05	3
7858	16	18	17	18	19	18	20	26	 	0	89.41%	80	65	75	81.76	3
5779	14	20	17	18	18	18	13	28	 	0	85.88%	85	66	76	81.75	3
3459	17	16	12	14	17	13	19	26	 	0	78.82%	99	66	76	81.73	3
0855	17	16	17	18	20	18	17	26	 	0	87.65%	77	68	78	81.66	3
9803	15	17	14	15	4	17	18	26	 	0	74.12%	92	74	84	81.65	3
6876	20	20	19	20	18	18	20	29	 	0	96.47%	61	67	77	81.59	3
4227	18	19	19	17	18	11	16	28	 	0	85.88%	70	73	83	81.55	3
0909	20	19	11	18	16	16	20	28	 	0	87.06%	91	61	71	81.42	2.9
0494	19	19	16	14	15	17	 	25	 	0	73.53%	78	81	91	81.41	2.9
5412	16	19	19	20	20	13	17	21	 	0	85.29%	74	71	81	81.32	2.9
9939	20	15	18	18	14	20	18	30	 	0	90.00%	68	69	79	81.20	2.9
3437	18	16	18	20	19	14	19	26	 	0	88.24%	79	65	75	81.09	2.9
7924	20	19	20	18	20	17	18	18	 	0	88.24%	81	64	74	81.09	2.9
2114	19	19	20	17	18	16	18	27	 	0	90.59%	65	69	79	80.84	2.9
1984	19	17	17	18	19	16	17	27	 	0	88.24%	65	71	81	80.69	2.9
0377	20	15	6	19	16	7	18	25	 	0	74.12%	87	74	84	80.65	2.9
2289	19	15	16	17	16	12	19	22	 	0	80.00%	79	72	82	80.60	2.9
2805	19	9	11	16	18	17	19	27	 	0	80.00%	63	80	90	80.60	2.9
2487	14	15	17	16	18	19	19	29	 	0	86.47%	80	65	75	80.59	2.9
4648	20	13	17	16	18	17	17	29	 	0	86.47%	87	61	71	80.39	2.8
6382	20	20	18	19	19	20	13	29	 	0	92.94%	74	61	71	80.38	2.8
8839	17	18	15	18	16	14	16	22	 	2	80.39%	91	65	75	80.36	2.8
5502	19	19	14	12	16	16	20	24	 	0	82.35%	73	72	82	80.34	2.8
2351	16	18	15	15	18	17	17	26	 	1	83.73%	84	65	75	80.29	2.8
0602	16	10	14	15	19	17	18	23	 	0	77.65%	94	66	76	80.26	2.8
4024	18	15	13	16	16	14	17	27	 	0	80.00%	79	71	81	80.20	2.8
2586	16	14	12	15	18	14	18	20	 	0	74.71%	71	80	90	80.08	2.8
1937	16	19	18	17	19	15	14	29	 	0	86.47%	83	62	72	79.99	2.8
3470	20	20	20	18	20	18	18	28	 	5	96.27%	71	58	68	79.91	2.8
5094	19	18	16	18	18	15	16	26	 	0	85.88%	74	66	76	79.55	2.8
8409	19	17	19	17	20	17	18	28	 	0	91.18%	71	62	72	79.47	2.7
