
last 4 digits of sid	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
2259	19	17	16	18	 	18	15	17	27	 	5	0	86.5%	69	71	76.79	2.7
5662	18	17	16	15	 	15	15	15	26	 	5	0	80.6%	83	69	76.44	2.7
4440	17	15	17	16	 	18	13	12	28	 	4	0	80.0%	84	69	76.40	2.7
2794	19	19	16	17	 	17	17	19	25	 	1	0	87.6%	86	60	76.26	2.7
6218	19	18	19	19	1	17	15	20	30	 	1	0	92.9%	85	55	76.18	2.6
8502	17	13	17	19	 	18	16	16	25	 	1	0	82.9%	69	73	76.18	2.6
3610	15	16	16	11	1	19	15	18	24	 	3	0	79.4%	76	73	76.16	2.6
4563	16	18	18	19	 	18	16	18	25	 	0	1	87.3%	74	66	76.10	2.6
2104	19	17	17	19	 	12	19	18	26	 	0	0	86.5%	83	62	75.99	2.6
2084	19	16	18	17	1	15	17	19	6	 	5	0	75.3%	73	78	75.92	2.6
4855	14	16	14	17	 	17	15	19	20	 	1	0	77.6%	72	76	75.86	2.6
3773	19	15	16	15	 	14	18	17	6	 	5	0	70.6%	99	69	75.64	2.6
2000	17	18	19	19	 	16	14	17	20	 	4	0	82.4%	83	65	75.54	2.6
5101	16	15	16	19	1	19	18	20	26	 	4	0	88.2%	73	64	75.49	2.6
2004	14	15	17	14	 	17	14	2	24	 	5	0	68.8%	79	80	75.33	2.6
2290	18	19	17	17	 	18	13	19	29	 	5	0	88.2%	82	59	75.29	2.6
5962	18	18	14	16	 	17	10	19	26	 	4	0	81.2%	68	73	75.27	2.6
0900	18	18	18	18	 	16	14	15	19	 	2	0	80.0%	78	69	75.20	2.6
1064	19	14	13	13	 	14	10	15	24	 	5	0	71.8%	86	73	75.11	2.6
4166	17	11	14	14	 	18	10	 	23	 	5	0	62.9%	91	79	74.98	2.5
0811	20	15	19	16	0	18	17	19	27	2	4	0	90.0%	84	55	74.80	2.5
0594	17	15	14	10	 	18	13	17	27	 	0	0	77.1%	81	69	74.62	2.5
9324	15	16	11	17	0	19	17	18	29	 	4	0	83.5%	80	63	74.61	2.5
6620	12	16	17	13	1	18	17	19	25	 	5	0	81.2%	84	63	74.47	2.5
4895	19	19	19	 	 	17	1	 	27	 	5	0	60.0%	92	80	74.40	2.5
0507	16	17	17	10	 	18	12	17	28	 	2	0	79.4%	73	70	74.36	2.5
1164	15	16	7	18	 	17	16	18	27	 	5	0	78.8%	68	73	74.33	2.5
6707	16	16	10	17	 	18	14	17	15	 	5	0	72.4%	86	70	74.14	2.5
5594	18	17	12	16	 	20	12	17	27	 	5	0	81.8%	69	69	74.11	2.5
8615	14	17	17	17	 	15	12	6	25	 	5	0	72.4%	83	71	73.94	2.5
2130	18	17	17	18	 	18	15	19	27	 	2	0	87.6%	76	59	73.86	2.5
1968	14	19	12	18	 	16	12	14	9	 	1	0	67.1%	82	76	73.62	2.4
3938	18	19	19	18	 	19	20	20	30	 	0	0	95.9%	50	63	73.55	2.4
2145	20	18	17	17	 	16	19	18	15	 	2	0	82.4%	77	63	73.54	2.4
0054	19	17	18	17	 	18	16	13	25	 	2	0	84.1%	69	65	73.45	2.4
4431	19	19	16	17	 	19	16	12	27	 	5	0	85.3%	80	58	73.32	2.4
6898	17	19	16	19	 	19	12	16	26	 	5	0	84.7%	63	67	73.28	2.4
3368	14	7	12	17	0	16	15	13	27	 	3	0	71.2%	89	66	72.67	2.4
8893	16	17	18	19	 	12	9	13	26	 	5	0	76.5%	74	68	72.59	2.4
5587	16	18	17	12	 	13	12	15	8	 	5	0	65.3%	80	76	72.52	2.3
5210	19	14	16	10	 	17	18	13	26	 	2	0	78.2%	75	65	72.29	2.3
5164	13	14	18	19	 	13	18	13	25	 	5	0	78.2%	77	64	72.29	2.3
4978	15	18	15	12	 	15	13	14	27	 	3	0	75.9%	75	67	72.15	2.3
7013	17	17	16	12	 	16	14	15	14	 	5	0	71.2%	84	67	72.07	2.3
8686	16	16	8	14	0	14	18	19	27	 	5	0	77.6%	85	60	72.06	2.3
2703	16	16	17	15	 	18	17	13	25	 	0	0	80.6%	81	59	72.04	2.3
2484	18	18	18	18	 	16	15	17	28	 	1	0	87.1%	63	61	71.82	2.3
1207	18	18	17	18	 	19	5	8	13	 	5	4	69.0%	89	66	71.81	2.3
7257	16	16	6	17	 	14	15	16	13	 	5	0	66.5%	74	76	71.79	2.3
3894	13	16	14	14	 	14	16	10	27	 	5	0	72.9%	79	67	71.78	2.3
2257	14	18	17	17	 	16	10	18	23	 	5	0	78.2%	80	61	71.69	2.3
1061	19	17	16	18	 	18	15	13	22	 	5	0	81.2%	72	62	71.67	2.3
6710	15	16	16	11	 	18	14	13	11	 	0	0	67.1%	81	71	71.42	2.3
0610	19	17	16	15	 	16	16	10	25	 	5	0	78.8%	43	78	71.33	2.2
7388	18	16	17	16	 	17	11	14	13	 	5	0	71.8%	83	65	71.31	2.2
5154	18	16	19	18	 	18	19	14	7	 	2	0	75.9%	66	69	71.15	2.2
1549	15	16	13	16	 	17	16	18	24	 	3	0	79.4%	83	56	70.76	2.2
8904	19	17	17	18	0	16	15	13	25	 	5	0	82.4%	61	63	70.34	2.2
4243	17	18	15	15	 	12	13	18	23	 	5	0	77.1%	67	65	70.22	2.2
5795	20	18	16	13	 	16	15	20	26	 	5	0	84.7%	73	54	70.08	2.1
0220	18	19	17	18	 	19	17	20	27	 	5	0	91.2%	68	50	70.07	2.1
3044	17	16	15	9	 	12	15	18	24	 	2	0	74.1%	72	65	70.05	2.1
6001	17	15	16	16	 	15	15	7	11	 	4	0	65.9%	86	66	69.95	2.1
6066	14	17	14	10	 	15	13	12	28	 	3	0	72.4%	67	69	69.94	2.1
2697	15	16	16	16	 	17	14	19	26	 	1	0	81.8%	76	55	69.91	2.1
5887	16	16	11	18	 	17	13	8	26	 	5	0	73.5%	75	63	69.61	2.1
0133	19	12	13	12	 	19	18	20	29	 	5	0	83.5%	72	54	69.41	2.1
5789	19	17	19	17	 	12	15	 	18	 	5	0	68.8%	78	65	69.13	2.1
8103	17	16	11	19	 	20	15	19	20	 	3	0	80.6%	70	57	69.04	2.1
1289	16	20	17	17	 	14	14	17	16	 	5	0	77.1%	59	66	69.02	2.1
2655	19	16	19	18	1	17	17	18	28	 	1	0	90.0%	45	60	69.00	2.1
4809	19	17	20	19	 	17	18	14	27	 	5	0	88.8%	80	43	68.73	2.0
0203	20	19	18	17	2	18	19	18	27	2	5	0	94.1%	61	43	67.05	1.9
2706	17	13	17	19	 	20	18	20	20	 	5	1	84.9%	68	47	66.36	1.8
6825	17	16	16	19	 	18	18	17	19	 	5	0	82.4%	71	48	66.34	1.8
3749	18	16	10	14	 	11	13	15	13	 	5	0	64.7%	58	72	66.28	1.8
9993	14	18	8	15	 	15	16	19	14	 	5	0	70.0%	71	60	66.20	1.8
6151	 	 	14	13	 	17	15	15	26	 	5	0	58.8%	83	65	66.13	1.8
3928	16	15	17	11	 	16	11	14	28	 	5	2	75.7%	75	51	65.67	1.8
2303	18	20	17	17	 	17	16	17	20	 	5	0	83.5%	62	49	65.41	1.8
1263	18	18	13	13	 	19	5	16	27	 	5	0	75.9%	71	52	65.35	1.8
0217	14	17	11	14	 	9	12	16	26	 	5	0	70.0%	67	58	64.60	1.7
0173	12	14	15	10	 	12	8	15	21	 	5	0	62.9%	71	63	64.58	1.7
3704	15	15	17	12	 	16	10	7	12	 	5	0	61.2%	75	62	64.27	1.7
4804	17	15	12	4	 	17	8	13	9	 	4	0	55.9%	61	74	64.15	1.7
6107	15	16	 	11	 	12	11	15	17	 	3	0	57.1%	72	67	64.02	1.6
1912	17	13	19	6	 	9	17	18	25	 	2	0	72.9%	70	51	63.58	1.6
2429	17	16	16	9	 	17	15	12	17	 	5	0	70.0%	63	57	63.40	1.6
1157	19	16	15	13	 	0	 	18	14	 	5	0	55.9%	82	61	63.15	1.6
5740	17	18	19	15	 	16	13	11	20	 	5	0	75.9%	73	45	62.95	1.6
2917	13	17	9	15	1	17	16	14	12	 	5	0	67.1%	74	53	62.82	1.6
2110	15	18	16	12	1	0	7	12	26	 	5	0	62.9%	48	70	62.78	1.5
2579	19	19	20	13	 	17	14	19	19	 	5	0	82.4%	66	41	62.54	1.5
3616	16	13	12	 	 	3	13	15	25	 	5	0	57.1%	63	67	62.22	1.5
9771	18	16	13	14	 	16	16	19	21	 	5	0	78.2%	44	55	62.09	1.5
2512	15	13	16	14	 	10	17	18	24	 	3	0	74.7%	72	44	61.88	1.5
