
last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
7675	19	 	16	19	12	18	17	21	 	5	0	71.8%	83	67	72.11	2.1
2321	18	19	15	15	15	16	19	17	 	5	0	78.8%	57	72	71.73	2
0976	16	16	17	11	15	16	18	 	 	5	0	64.1%	82	74	71.65	2
0716	14	18	12	12	13	17	12	24	 	4	0	71.8%	74	70	71.51	2
2978	13	14	14	15	14	14	15	4	 	 	0	60.6%	86	75	71.44	2
0630	20	18	18	19	20	19	18	25	 	4	0	92.4%	58	57	71.34	2
4320	16	11	18	20	18	17	18	25	 	3	0	84.1%	55	66	71.05	2
4354	15	17	16	18	18	18	16	24	 	 	0	83.5%	62	63	71.01	2
4009	14	13	13	15	17	13	14	21	 	5	0	70.6%	69	71	70.44	1.9
1576	15	15	7	18	18	9	16	9	 	3	0	62.9%	78	73	69.98	1.8
0468	16	17	15	18	17	10	17	 	 	5	0	64.7%	83	68	69.68	1.8
5531	17	18	19	17	17	14	18	25	 	5	0	85.3%	51	63	69.52	1.8
7564	15	16	14	17	19	15	17	26	 	4	0	81.8%	62	61	69.51	1.8
0444	16	13	18	17	14	9	16	15	 	5	0	69.4%	62	73	69.36	1.8
0503	18	12	15	18	0	17	16	29	 	4	0	73.5%	75	61	68.81	1.7
0308	14	13	0	15	16	14	16	25	 	4	0	66.5%	75	68	68.79	1.7
5795	19	5	14	18	15	13	17	25	 	5	0	74.1%	57	69	68.65	1.7
5174	20	14	2	16	14	15	8	16	 	5	0	61.8%	84	67	68.31	1.7
1570	16	10	15	14	16	15	7	12	 	5	0	61.8%	68	75	68.31	1.7
0207	18	11	13	19	16	18	14	25	 	3	0	78.8%	62	60	67.93	1.6
0443	17	16	17	19	19	17	15	27	 	1	0	86.5%	48	59	67.79	1.6
0810	19	16	12	16	19	17	17	15	 	5	0	77.1%	44	70	67.62	1.6
4827	14	10	10	18	8	14	12	26	 	5	0	65.9%	49	78	67.35	1.6
4139	12	13	15	15	19	13	14	21	 	5	0	71.8%	67	63	67.31	1.6
0738	12	15	12	16	14	8	16	11	 	3	0	61.2%	75	68	66.67	1.5
9523	15	14	17	17	17	16	14	27	 	3	0	80.6%	53	59	66.44	1.5
1131	18	11	15	 	13	12	13	21	 	5	0	60.6%	71	69	66.04	1.5
2657	15	12	18	18	13	14	18	22	 	5	0	76.5%	67	54	65.59	1.4
6925	19	17	17	17	12	9	7	24	 	5	0	71.8%	72	54	64.71	1.3
2448	16	17	17	16	18	15	19	30	 	5	0	87.1%	31	59	64.62	1.3
5515	16	13	19	16	 	18	15	26	 	5	0	72.4%	64	56	64.14	1.3
2326	20	19	8	20	19	 	 	 	 	5	4	51.4%	89	64	63.95	1.2
4630	17	10	13	19	15	12	16	 	 	5	0	60.0%	72	63	63.60	1.2
5033	10	7	16	17	11	12	9	16	 	5	0	57.6%	74	62	62.66	1.1
1082	14	12	11	12	5	6	9	26	 	5	0	55.9%	76	62	62.35	1.1
8269	19	8	19	18	10	12	13	7	 	5	1	62.5%	57	64	62.02	1.1
4018	15	13	12	10	5	12	11	26	 	5	0	61.2%	48	67	60.87	0.9
1252	15	11	8	18	19	14	13	22	 	4	0	70.6%	67	48	60.84	0.9
7551	14	13	16	16	20	14	16	 	 	5	0	64.1%	72	50	60.05	0.9
2234	14	2	0	16	17	13	13	15	 	5	0	52.9%	85	50	58.18	0.7
6244	5	6	4	14	17	17	18	15	 	5	0	56.5%	47	63	57.19	0.7
0797	18	12	12	16	17	 	5	27	 	5	0	62.9%	42	59	57.18	0.7
8817	 	13	10	12	12	11	 	 	 	5	0	34.1%	61	75	55.85	0.7
1532	15	15	 	15	16	8	12	 	 	5	0	47.6%	81	50	55.26	0
8948	16	13	15	17	0	15	11	12	 	5	0	58.2%	33	61	54.29	0
4506	14	17	14	16	19	15	16	24	 	4	0	79.4%	37	35	53.16	0
4423	18	15	18	18	 	 	 	 	 	5	0	40.6%	85	49	52.84	0
7355	14	13	9	17	0	0	12	12	 	5	0	45.3%	48	62	52.52	0
0611	12	0	4	16	16	8	 	 	 	5	0	32.9%	71	60	51.38	0
4171	10	10	14	17	11	4	10	9	 	5	0	50.0%	55	49	50.60	0
8038	16	16	17	19	6	2	9	28	 	5	0	66.5%	22	48	50.19	0
0803	16	12	15	14	18	17	 	24	 	5	0	68.2%	52	29	49.29	0
9795	16	17	16	 	 	14	2	 	 	5	0	38.2%	69	43	46.29	0
3634	16	19	15	15	15	13	16	15	 	5	0	72.9%	81	 	45.38	0
2553	10	 	0	13	0	0	19	 	 	 	0	24.7%	67	55	45.28	0
6111	15	8	4	12	0	11	 	 	 	4	0	29.4%	58	53	44.56	0
0752	13	4	17	11	5	 	 	 	 	5	0	29.4%	67	41	41.56	0
9910	17	 	16	12	3	 	 	 	 	5	2	28.6%	44	49	39.85	0
1519	10	 	11	 	 	 	 	 	 	5	0	12.4%	63	40	33.54	0
4835	14	10	7	 	 	 	 	 	 	5	0	18.2%	62	32	32.49	0
6866	 	4	14	 	 	0	0	0	 	5	0	10.6%	53	43	32.04	0
2898	11	14	9	11	8	0	 	 	 	5	0	31.2%	52	13	28.07	0
3061	12	9	14	18	15	 	 	 	 	4	0	40.0%	55	 	27.00	0
9670	18	 	 	 	 	 	 	 	 	1	0	10.6%	33	21	19.24	0
0781	9	1	0	12	 	0	 	 	 	5	0	12.9%	66	 	18.38	0
3489	14	 	 	 	 	 	 	 	 	5	0	8.2%	73	 	17.89	0
7217	20	14	12	14	 	 	 	 	 	3	0	35.3%	 	 	14.12	0
2338	5	10	0	0	0	 	 	 	 	5	0	8.8%	47	 	12.93	0
4528	15	2	2	10	10	 	 	 	 	2	0	22.9%	14	 	11.98	0
7167	14	12	7	14	 	 	 	 	 	1	0	27.6%	 	 	11.06	0
2603	13	 	3	1	 	 	 	 	 	5	0	10.0%	35	 	11.00	0
0550	17	 	 	 	 	 	 	 	 	 	0	10.0%	33	 	10.60	0
2197	 	 	 	 	 	 	 	 	 	 	0	0.0%	52	 	10.40	0
3928	12	 	 	 	 	 	 	 	 	 	0	7.1%	22	 	7.22	0
7324	13	13	4	 	 	 	 	 	 	1	0	17.6%	 	 	7.06	0
0997	10	0	10	 	 	 	 	 	 	5	2	12.2%	 	 	4.86	0
2876	7	 	 	 	 	 	 	 	 	5	0	4.1%	 	 	1.65	0
1046	 	 	 	 	 	 	 	 	 	 	0	0.0%	 	 	0.00	0
3616	 	 	 	 	 	 	 	 	 	 	0	0.0%	 	 	0.00	0

mean	16.5	16.0	16.0	17.2	17.1	16.0	17.1	25.4	1.8	3.5	0.4	78.0%	78.4	76.6	75.5	2.6
median	17	17	17	18	18	17	18	27	2	4	0	85.3%	81	78	80.52	2.9
