last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
0767	9	16	20	20	14	15	10	17	 	20	84.94%	78	61	67	76.38	2.1
7220	10	16	17	15	17	15	5	16	4	20	78.92%	78	67	73	76.37	2.1
5745	10	12	19	19	18	19	19	19	3	20	93.37%	55	64	70	76.35	2.1
0869	9	15	20	18	17	19	11	19	3	20	89.16%	73	59	65	76.26	2.1
8176	8	15	15	17	13	0	15	17	 	20	72.29%	70	77	83	76.12	2.1
0106	9	15	19	17	17	14	12	20	4	20	86.14%	78	59	65	76.06	2.1
3055	10	16	15	9	11	7	11	16	5	20	69.28%	75	77	83	75.91	2.1
2553	9	16	19	18	20	18	6	18	5	20	86.75%	78	58	64	75.90	2.1
1916	9	15	 	17	17	19	19	17	2	20	80.12%	85	61	67	75.85	2.1
6091	8	15	17	16	13	15	19	19	1	20	85.54%	86	55	61	75.82	2.1
4531	4	14	13	16	10	10	15	19	5	20	72.89%	79	71	77	75.76	2.1
4388	 	13	15	16	15	16	16	18	2	12	72.89%	84	68	74	75.56	2.1
8363	9	16	20	20	19	18	18	19	-1	20	95.78%	76	49	55	75.51	2.1
0645	9	14	17	18	0	15	17	17	2	20	76.51%	82	64	70	75.00	2
4128	9	16	20	17	16	19	18	18	5	20	92.17%	68	55	61	74.87	2
1012	9	13	19	16	 	 	 	 	1	20	46.39%	91	89	95	74.75	2
1417	7	15	19	16	18	18	15	16	4	20	86.75%	77	55	61	74.50	1.9
1964	9	13	17	19	16	18	17	16	 	20	87.35%	71	57	63	74.34	1.9
0048	9	13	17	17	15	14	18	17	5	20	84.34%	85	53	59	74.33	1.9
8524	9	16	19	18	19	18	17	18	2	20	92.77%	58	58	64	74.31	1.9
0204	8	14	18	18	16	11	13	16	5	12	75.90%	80	63	69	73.96	1.9
1046	10	12	17	18	14	13	18	17	3	20	83.73%	80	55	61	73.89	1.9
0066	9	15	16	16	18	18	14	18	5	20	86.75%	85	49	55	73.70	1.9
4489	6	15	18	16	16	15	12	16	 	20	80.72%	67	64	70	73.69	1.9
1156	9	15	19	18	17	16	16	17	4	20	88.55%	79	50	56	73.62	1.9
1015	10	16	19	16	16	9	14	16	5	20	81.93%	68	62	68	73.57	1.9
0185	9	16	19	17	16	17	18	18	1	20	90.36%	75	50	56	73.54	1.9
9890	8	15	19	15	18	19	15	13	 	20	85.54%	72	56	62	73.42	1.8
0308	7	16	15	16	17	12	12	17	5	20	79.52%	76	60	66	73.41	1.8
9727	9	16	16	16	12	13	16	20	5	20	83.13%	68	60	66	73.25	1.8
1240	10	16	20	18	19	20	20	17	5	20	96.39%	61	50	56	73.15	1.8
8976	9	16	19	17	18	17	18	20	2	20	92.77%	64	52	58	73.11	1.8
3877	 	 	 	19	15	18	9	18	 	6	51.20%	95	78	84	73.08	1.8
1803	10	16	18	19	11	17	13	16	5	20	84.34%	68	58	64	72.93	1.8
2503	9	16	20	19	19	18	17	16	5	20	92.77%	65	51	57	72.91	1.8
2764	9	16	19	16	16	17	17	18	 	20	89.16%	67	53	59	72.66	1.8
1156	8	16	17	16	14	11	16	17	5	20	81.33%	77	55	61	72.33	1.7
1676	10	16	19	19	16	11	16	17	3	20	86.75%	70	53	59	72.30	1.7
7966	10	15	19	18	16	17	18	18	1	20	90.96%	66	50	56	71.99	1.7
