code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	new mid	final	total	grade
9042	16	18	17	17	18	9	19	28	 	5	0	83.5%	81	83	73	79.21	3.0
9209	14	16	12	14	6	18	17	17	 	4	0	67.1%	62	64	52	60.42	1.4
9577	 	11	 	10	 	 	 	 	 	0	0	12.4%	54	56	 	16.14	0.0
9714	18	17	16	19	19	18	18	29	 	2	0	90.6%	70	72	76	81.04	3.1
9816	16	17	17	19	18	16	15	28	 	5	0	85.9%	80	82	59	74.35	2.6
9824	 	 	0	10	16	4	14	21	 	2	0	38.2%	 	 	2	16.09	0.0
9916	 	14	 	6	12	 	 	 	 	5	0	18.8%	46	48	 	17.13	0.0
9973	17	17	19	19	18	20	16	24	 	5	0	88.2%	94	96	75	84.49	3.4
10141	17	16	16	17	13	12	15	23	 	5	0	75.9%	69	71	69	72.15	2.4
10290	17	16	18	19	18	18	19	29	 	0	0	90.6%	92	94	76	85.44	3.5
10298	15	14	14	19	17	17	17	28	2	2	0	84.1%	63	65	82	79.45	3.0
10351	16	12	6	8	17	5	5	 	 	5	0	40.6%	56	58	 	27.84	0.0
10355	17	17	15	19	16	17	16	28	 	4	0	85.3%	71	73	60	72.72	2.4
10441	16	15	15	18	19	19	15	28	 	2	0	85.3%	92	94	78	84.12	3.4
10964	18	17	17	19	16	17	16	27	 	4	1	86.7%	69	71	65	74.87	2.6
11092	18	16	17	18	14	17	18	27	 	5	0	85.3%	83	85	76	81.52	3.2
11373	16	16	12	13	19	19	15	28	2	3	0	82.4%	59	61	63	70.34	2.2
11403	20	16	20	13	16	16	20	29	 	5	0	88.2%	88	90	66	79.69	3.0
11542	16	14	18	10	13	3	18	6	 	5	0	57.6%	61	63	57	58.46	1.3
11718	16	16	18	16	19	16	16	28	 	1	0	85.3%	95	97	67	80.32	3.1
11849	16	16	16	17	10	12	17	28	 	0	0	77.6%	87	89	90	84.86	3.4
12268	15	 	 	 	 	 	 	 	 	4	2	9.2%	53	55	19	22.29	0.0
12362	 	 	 	 	 	 	 	 	 	0	0	0.0%	59	61	 	12.20	0.0
12366	16	19	20	18	20	19	19	25	 	5	0	91.8%	92	94	85	89.51	3.8
12464	18	16	16	15	17	15	15	29	 	0	1	83.1%	70	72	67	74.45	2.6
13228	19	18	17	16	18	16	17	18	 	4	4	82.5%	65	67	62	71.22	2.3
13230	17	17	19	20	20	17	18	29	 	4	4	93.1%	97	99	81	89.45	3.8
13290	16	17	16	15	18	10	12	30	 	5	0	78.8%	69	71	68	72.93	2.5
13354	15	17	16	17	17	14	18	29	 	5	0	84.1%	78	80	77	80.45	3.1
13612	13	11	11	7	16	2	9	3	 	5	0	42.4%	52	54	41	44.14	0.0
13767	16	16	20	16	19	19	15	28	 	5	0	87.6%	77	79	69	78.46	2.9
13817	17	17	15	16	16	18	13	30	 	3	0	83.5%	55	57	60	68.81	2.1
14686	18	17	19	20	19	16	20	29	 	5	0	92.9%	73	75	84	85.78	3.5
14729	16	10	8	 	12	6	6	14	 	5	0	42.4%	67	69	54	52.34	0.8
15093	16	18	20	20	18	14	20	28	 	2	0	90.6%	86	88	78	85.04	3.4
15862	17	18	18	17	20	18	18	25	2	0	0	90.0%	59	61	72	77.00	2.8
16074	17	15	18	17	18	16	16	26	 	0	1	84.3%	97	99	73	82.73	3.3
16100	19	19	20	19	19	20	20	29	0	3	9	98.8%	85	87	74	86.53	3.6
16562	16	12	14	17	18	11	19	29	 	1	0	80.0%	84	86	64	74.80	2.6
16912	15	15	18	17	19	15	17	26	 	0	0	83.5%	74	76	66	75.01	2.6
16938	16	19	18	19	19	18	18	28	2	2	0	92.4%	95	97	87	91.14	3.9
16948	16	15	17	15	16	16	19	23	 	0	3	81.2%	76	78	72	76.87	2.8
16988	17	18	20	18	19	19	18	28	 	3	6	93.5%	87	89	81	87.61	3.7
17095	17	18	18	19	19	15	18	26	 	1	0	88.2%	89	91	77	84.29	3.4
17232	19	18	19	19	20	19	19	30	 	2	0	95.9%	96	98	78	89.15	3.8
17463	16	16	20	18	19	16	19	28	 	5	0	89.4%	61	63	59	71.96	2.4
17823	19	17	20	13	18	16	17	29	 	4	0	87.6%	54	56	58	69.46	2.2
17866	17	18	15	17	19	18	12	29	 	0	0	85.3%	73	75	75	79.12	3.0
17972	20	19	19	17	19	19	19	30	 	4	9	97.1%	87	89	81	89.02	3.8
17976	19	17	16	12	15	20	17	28	 	0	0	84.7%	81	83	70	78.48	2.9
17997	17	16	17	17	18	18	19	30	 	3	8	91.0%	86	88	81	86.39	3.6
