last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
0267	10	15	19	16	16	17	16	15	1	20	0.00	86.75%	89	85	86.50	3.2
1549	10	10	17	15	14	19	18	19	1	20	0.00	85.54%	83	89	86.42	3.2
5667	10	15	16	18	18	18	20	19	3	20	0.33	92.97%	90	78	86.39	3.2
3695	8	16	20	18	20	18	20	19	2	20	0.00	95.78%	86	77	86.31	3.2
0790	9	16	19	18	17	17	17	18	5	18	0.00	89.76%	94	79	86.30	3.2
9483	10	15	19	18	20	19	18	19	2	20	0.00	95.18%	87	77	86.27	3.2
9604	10	16	19	17	18	18	19	20	2	20	0.00	94.58%	84	79	86.23	3.2
0857	10	15	19	18	20	17	19	18	2	20	0.00	93.98%	77	83	86.19	3.2
2921	8	14	18	17	19	20	18	15	5	20	0.00	89.76%	87	82	86.10	3.2
3809	8	16	17	17	16	18	18	19	 	20	0.00	89.76%	95	78	86.10	3.2
2183	8	16	18	19	17	17	17	19	4	20	0.00	90.96%	94	77	85.99	3.2
0426	8	16	19	16	15	18	19	19	4	20	0.00	90.36%	95	77	85.94	3.2
7775	8	15	18	17	16	17	18	19	3	20	0.00	89.16%	93	79	85.86	3.2
9522	10	15	16	18	19	15	19	16	 	20	0.00	89.16%	85	83	85.86	3.2
4144	9	16	20	17	20	20	19	16	 	20	0.00	94.58%	92	74	85.83	3.2
2552	9	15	15	16	20	17	18	20	1	20	0.00	90.36%	84	82	85.74	3.2
0881	10	16	20	19	20	20	19	20	3	20	0.00	98.80%	85	73	85.72	3.2
1059	9	16	19	20	19	18	18	19	2	20	0.00	95.18%	90	74	85.67	3.1
3948	10	15	20	17	16	17	19	19	5	20	0.00	92.17%	94	75	85.67	3.1
4047	9	14	20	17	14	18	17	19	2	20	0.00	89.16%	94	78	85.66	3.1
3704	8	16	15	17	18	19	17	19	5	9	0.00	83.13%	92	85	85.65	3.1
1504	10	15	20	18	17	18	19	20	3	20	0.00	94.58%	89	75	85.63	3.1
5289	8	15	11	18	16	17	19	20	1	18	0.00	85.54%	89	84	85.62	3.1
3752	9	15	12	14	13	16	18	20	 	20	0.00	82.53%	95	84	85.61	3.1
0249	9	15	20	16	17	18	20	20	2	20	0.00	93.37%	85	78	85.55	3.1
6710	7	14	20	16	19	14	17	17	 	20	0.00	86.75%	94	80	85.50	3.1
2928	10	16	19	17	15	10	19	18	5	20	0.00	86.75%	80	87	85.50	3.1
4739	6	15	12	16	17	19	19	19	1	20	0.00	86.14%	93	81	85.46	3.1
5748	9	15	15	17	18	14	17	17	1	20	0.00	85.54%	92	82	85.42	3.1
2251	9	16	15	17	19	15	15	16	5	20	0.00	85.54%	86	85	85.42	3.1
3305	9	15	19	15	18	18	17	20	5	20	0.00	90.96%	89	78	85.39	3.1
2791	9	13	13	17	17	17	17	17	1	20	0.00	84.34%	98	80	85.33	3.1
2699	9	16	18	19	16	13	17	17	2	20	0.00	87.35%	87	82	85.14	3.1
1970	9	 	18	17	18	17	17	18	4	20	0.00	80.72%	100	82	85.09	3.1
7230	9	16	19	18	16	15	17	18	4	20	0.00	89.16%	91	78	85.06	3.1
3103	7	15	18	18	19	18	17	20	 	20	0.00	91.57%	90	76	85.03	3.1
3062	9	16	14	15	18	18	17	19	2	20	0.00	87.95%	87	81	84.98	3.1
2259	10	14	19	17	13	15	18	15	5	20	0.00	84.94%	89	83	84.98	3.1
1906	10	16	18	16	15	17	16	13	4	20	0.00	84.94%	85	85	84.98	3.1
6707	9	14	17	16	18	15	16	20	 	20	0.00	87.35%	90	80	84.94	3.1
1263	10	16	18	18	19	14	16	18	3	20	0.00	89.76%	89	78	84.90	3.1
4440	9	15	15	16	19	18	18	19	2	20	0.00	89.76%	75	85	84.90	3.1
6327	9	14	12	16	20	15	17	16	4	20	0.00	83.73%	87	85	84.89	3.1
6452	9	15	16	18	12	13	18	18	1	20	0.00	83.73%	97	80	84.89	3.1
9386	10	15	17	17	16	17	20	16	2	20	0.00	89.16%	76	85	84.86	3.1
5382	10	16	19	14	19	 	17	18	 	20	0.00	80.12%	90	87	84.85	3.1
2314	10	15	20	18	17	13	14	18	5	20	0.00	87.35%	85	82	84.74	3.1
9554	8	16	18	16	19	18	14	16	5	20	0.00	87.35%	92	78	84.54	3.0
0220	9	16	19	18	16	19	18	19	 	20	0.00	92.77%	73	82	84.51	3.0
1614	9	16	20	17	18	16	18	20	5	20	0.00	92.77%	81	78	84.51	3.0
0320	9	16	19	14	18	19	16	18	3	20	0.00	89.76%	79	82	84.50	3.0
3169	9	15	18	14	16	19	16	15	4	20	0.00	85.54%	97	77	84.42	3.0
0173	9	16	20	19	17	20	20	19	4	20	0.00	96.39%	79	75	84.35	3.0
7690	10	16	18	18	18	20	19	15	5	20	0.00	92.77%	80	78	84.31	3.0
5594	10	15	17	15	19	16	16	18	1	20	0.33	88.15%	87	79	84.26	3.0
5098	9	16	19	16	15	14	17	17	5	20	0.00	86.14%	95	77	84.26	3.0
2703	8	15	18	17	19	13	17	15	1	20	0.00	85.54%	94	78	84.22	3.0
3498	10	15	17	15	18	18	17	16	5	15	0.00	84.94%	91	80	84.18	3.0
2543	9	15	20	16	17	19	15	19	3	20	0.00	90.36%	80	80	84.14	3.0
8210	8	16	14	19	18	19	19	16	4	20	0.00	89.76%	85	78	84.10	3.0
9421	10	14	16	15	17	16	17	19	2	20	0.00	86.75%	91	78	84.10	3.0
5088	8	14	20	18	20	19	18	20	3	20	0.00	94.58%	77	77	84.03	3.0
2675	8	16	15	14	20	16	19	18	5	20	0.00	87.95%	90	77	83.98	3.0
5887	10	13	20	15	11	18	15	17	5	20	0.00	83.73%	84	84	83.89	3.0
6197	9	16	19	18	18	18	19	16	5	20	0.00	92.17%	95	70	83.87	3.0
4850	10	16	20	16	18	17	11	 	5	20	0.00	77.11%	93	86	83.84	3.0
4601	8	15	16	18	16	16	18	17	5	18	0.00	85.54%	96	76	83.82	3.0
0556	10	15	20	18	17	17	18	16	5	20	0.00	90.96%	91	73	83.79	3.0
7678	10	16	19	17	14	14	19	17	3	20	0.00	87.95%	95	74	83.78	3.0
8575	10	15	20	18	20	19	19	18	2	20	0.00	95.78%	89	69	83.71	3.0
2270	9	16	19	16	18	17	19	15	5	20	0.00	89.76%	77	81	83.70	3.0
7508	9	16	15	19	17	20	18	19	3	20	0.00	92.17%	90	72	83.67	3.0
4978	9	15	14	16	18	17	17	17	 	20	0.00	86.14%	92	77	83.66	3.0
5210	9	15	18	16	19	18	19	18	3	20	0.00	91.57%	89	73	83.63	2.9
2000	10	16	18	14	17	18	18	21	4	20	0.00	91.57%	83	76	83.63	2.9
6001	8	16	15	14	17	14	17	16	3	20	0.00	82.53%	87	83	83.61	2.9
0761	9	15	 	16	17	18	17	15	5	20	0.00	76.51%	99	83	83.60	2.9
7372	10	15	16	17	15	20	20	18	4	20	0.00	90.96%	92	72	83.59	2.9
2484	9	15	20	17	19	19	15	19	1	20	1.67	93.17%	89	71	83.47	2.9
3326	7	16	17	18	17	19	19	14	5	20	0.00	88.55%	88	76	83.42	2.9
8502	6	15	19	16	12	10	17	17	 	20	0.00	79.52%	90	84	83.41	2.9
6066	9	16	18	17	16	18	16	16	 	20	0.00	87.95%	85	78	83.38	2.9
0676	10	14	20	18	17	17	12	13	5	20	0.00	84.94%	85	81	83.38	2.9
3390	10	16	16	17	15	16	16	19	1	20	0.00	87.35%	80	81	83.34	2.9
9989	10	15	17	16	17	19	17	18	3	20	0.00	89.76%	97	70	83.30	2.9
5566	8	14	18	17	16	15	17	18	5	20	0.00	86.14%	82	81	83.26	2.9
2655	10	15	18	14	19	18	20	18	 	20	0.00	91.57%	83	75	83.23	2.9
8563	9	16	17	18	16	18	19	18	 	20	0.00	90.96%	90	72	83.19	2.9
0892	8	16	20	19	18	19	17	18	5	20	0.00	93.37%	89	70	83.15	2.9
6364	9	14	18	17	10	16	18	18	2	20	0.00	84.34%	91	78	83.13	2.9
2912	9	15	20	17	13	16	16	18	3	20	0.00	86.75%	94	74	83.10	2.9
2867	8	15	16	14	17	17	18	19	 	20	0.00	86.75%	80	81	83.10	2.9
7213	9	15	17	17	18	12	18	18	4	20	0.00	86.75%	88	77	83.10	2.9
1497	9	16	17	19	19	18	18	19	5	20	0.00	93.37%	78	75	82.95	2.9
7024	10	16	18	16	13	13	17	15	3	20	0.00	83.13%	98	75	82.85	2.9
2981	10	14	12	16	18	18	16	13	5	20	0.00	82.53%	91	79	82.81	2.9
4283	8	16	19	18	20	18	18	19	3	20	0.00	93.98%	86	70	82.79	2.9
7323	9	16	20	18	17	18	18	18	5	20	0.00	92.77%	94	67	82.71	2.9
7277	10	14	19	17	16	17	19	20	5	20	0.00	91.57%	78	76	82.63	2.9
